Word,num_rhymes_full_elp,num_rhymes_1000_coca,num_rhymes_2500_coca,num_rhymes_5000_coca,num_rhymes_10000_coca,Ortho_N,Phono_N,Phono_N_H,OG_N,OLD,OLDF,PLD,PLDF,BG_Mean,I_Mean_RT,I_Zscore,I_SD,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Mean_Accuracy
toppers,9,0,0,0,0,5,13,13,5,2.35,6.58,2,6.11,4258.67,721.76,-0.21,152.7,0.81,645.68,-0.42,125.66,1
topping,15,0,0,0,2,9,16,16,9,1.55,6.63,1.45,7.08,5085.67,639.13,-0.41,116.42,0.94,590.46,-0.54,100.57,1
toppings,1,0,0,0,0,1,1,1,1,2.35,6.42,1.95,6.7,4453.57,680.59,-0.29,184.67,0.97,624.11,-0.48,101.36,1
topple,0,0,0,0,0,1,6,6,1,2.15,6.99,1.85,6.99,2674,699.17,-0.18,172.54,0.91,611.93,-0.52,175.86,1
toppled,0,0,0,0,0,3,3,3,2,2,6.31,1.95,5.94,3575.67,713.38,-0.31,196.08,0.94,630.93,-0.52,101.07,0.97
toppling,0,0,0,0,0,1,2,2,1,2.25,6.4,2.5,6.12,5123.86,786.21,0.16,302.02,0.8,674.11,-0.2,158.74,1
tops,17,0,0,0,0,24,26,26,13,1.25,8.12,1.35,7.96,1714.67,657.44,-0.49,154.83,1,596.78,-0.58,144.5,1
topsoil,0,0,0,0,0,1,1,1,1,2.85,6.1,3.7,4.94,1757.67,821.45,-0.12,304.86,0.97,634.07,-0.34,96.04,1
torch,2,0,0,0,1,3,7,7,2,1.9,7.56,1.9,7.68,3056.75,639.97,-0.54,159.74,1,609.59,-0.55,99.01,1
torches,0,0,0,0,0,2,2,2,1,2.15,6.59,2.1,6.85,4753.33,628,-0.47,140.49,0.97,696.15,-0.28,315.48,1
tore,68,0,0,0,0,24,47,50,13,1,8.17,1,9.78,5430.67,691.31,-0.32,237.52,0.81,612.39,-0.45,115.8,1
torment,0,0,0,0,0,1,0,0,0,2.4,7.09,2.8,6.42,4170.5,779.52,-0.03,322.17,0.91,646.3,-0.4,130.53,1
tormented,0,0,0,0,0,0,0,0,0,2.7,6.16,2.7,6.28,5206.75,681.5,-0.34,175.59,1,693.81,-0.1,128.51,1
tormenting,0,0,0,0,0,0,0,0,0,2.9,6.66,3.1,6.02,6403.67,765.52,0.1,154.58,0.88,716.37,-0.01,165.67,1
tormentor,0,0,0,0,0,0,0,0,0,3.4,6.69,3.25,6.63,4129.38,882.82,0.3,350.81,0.65,767.74,0.16,243.7,0.96
torn,27,0,0,0,0,15,22,22,11,1.35,8.76,1.25,8.23,2985.33,612.21,-0.56,171.51,1,581.56,-0.73,114.46,1
tornado,1,0,0,0,0,0,0,0,0,2.85,7.01,3.4,6.86,2501.33,617.42,-0.58,155.42,1,659.48,-0.43,114.41,0.92
tornadoes,0,0,0,0,0,0,0,8,0,3.6,6.29,3.6,6.74,3514.88,668.79,-0.21,189.1,0.97,695.7,-0.04,198.63,1
torpedo,0,0,0,0,0,0,0,0,0,2.85,6.61,3.1,6.7,3504.83,805.55,0.02,320.02,0.94,681.22,-0.14,184.91,1
torpedoes,0,0,0,0,0,1,1,9,1,3.8,5.77,3.5,6.26,4267.5,884.96,0.34,273.3,0.76,794.93,0.19,236.06,0.97
torque,7,0,0,0,4,0,10,10,0,2.7,7.15,1.5,8.39,2026.4,700.05,0,142,0.63,641.07,-0.26,101.29,0.96
torrent,2,0,0,0,0,1,4,4,0,2.55,7.21,1.9,7.04,4997.5,814.04,0.03,281.42,0.68,700.15,-0.11,126.15,0.96
torrential,20,0,0,0,0,0,0,0,0,3.65,6.06,3.2,6.82,5277.78,908.16,0.59,359.45,0.56,818.27,0.45,312.25,0.85
torrents,1,0,0,0,0,1,2,2,0,2.7,7.1,2.3,7.52,4673.14,818.15,0.19,222.31,0.63,702,-0.11,208.22,0.96
torrid,2,0,0,0,0,3,3,3,1,2.45,7.18,1.9,7.53,3382.8,734.63,-0.19,226.69,0.75,684.15,-0.23,140.54,0.96
torsion,7,0,0,0,0,0,1,1,0,2.75,7.21,1.95,7.15,4583,864.86,0.39,315.23,0.4,865.24,0.32,333.85,0.74
torso,0,0,0,0,0,1,1,1,1,1.95,7.64,1.95,7.87,3366.75,638.76,-0.5,153.33,0.97,654.85,-0.45,110.91,1
torsos,0,0,0,0,0,0,0,0,0,2.65,7.22,2.55,7.6,3087.8,806.88,0.19,230.74,0.76,684.42,-0.28,134.48,0.96
tort,29,0,0,0,0,12,17,17,8,1.45,8.83,1.15,8.64,3318,784.41,-0.23,366.36,0.67,549.96,-0.58,93.29,1
tortilla,19,0,0,3,6,0,0,0,0,3.6,6.66,2.6,6.99,4350.57,734.53,-0.2,334.42,0.94,647.61,-0.24,92.92,0.85
tortoise,0,0,0,0,0,0,0,0,0,3.35,6.21,1.95,7.17,3302.14,785.79,-0.04,229.33,0.93,798.88,0.31,265.98,0.89
tortoises,0,0,0,0,0,0,0,0,0,3.55,6.41,2.8,6.71,4481.38,764.25,0.07,217.39,0.88,866.08,0.58,262.94,0.93
tortuous,0,0,0,0,0,0,0,0,0,3.2,6.25,3.05,6.65,2613,806.37,0.21,337.56,0.88,744.72,-0.02,245.67,0.64
torture,1,0,0,0,0,0,1,1,0,2.5,6.69,2.1,6.59,3749.67,649.03,-0.48,314.43,0.97,684.23,-0.41,288.66,1
tortured,1,0,0,0,1,2,2,2,2,2.65,6.43,2.6,6.82,4368.86,723.42,-0.33,209.45,0.97,652.3,-0.27,160.7,1
tortures,0,0,0,0,0,2,4,4,2,2.6,6.81,2.45,6.86,5033.43,823.03,-0.09,424.24,0.94,666.67,-0.18,153.08,1
toss,14,0,4,5,7,19,16,16,4,1.45,8.19,1.3,8.85,2878,614.82,-0.56,192.26,0.97,582.68,-0.68,104.94,1
tossed,8,0,0,0,0,2,10,10,1,1.9,6.5,1.35,8.33,4144.2,689.26,-0.39,243.58,1,593.31,-0.56,135.88,0.96
tosses,4,0,0,0,0,9,6,6,3,1.8,6.84,1.85,7.57,5074.6,800.24,-0.17,290.57,0.88,646.63,-0.34,118.78,0.96
